"", "ID1", "Year", "ID2", "Latitude", "Longitude", "Elevation", "Tmax01", "Tmax02", "Tmax03", "Tmax04", "Tmax05", "Tmax06", "Tmax07", "Tmax08", "Tmax09", "Tmax10", "Tmax11", "Tmax12", "Tmin01", "Tmin02", "Tmin03", "Tmin04", "Tmin05", "Tmin06", "Tmin07", "Tmin08", "Tmin09", "Tmin10", "Tmin11", "Tmin12", "Tave01", "Tave02", "Tave03", "Tave04", "Tave05", "Tave06", "Tave07", "Tave08", "Tave09", "Tave10", "Tave11", "Tave12", "PPT01", "PPT02", "PPT03", "PPT04", "PPT05", "PPT06", "PPT07", "PPT08", "PPT09", "PPT10", "PPT11", "PPT12", "DD_0_01", "DD_0_02", "DD_0_03", "DD_0_04", "DD_0_05", "DD_0_06", "DD_0_07", "DD_0_08", "DD_0_09", "DD_0_10", "DD_0_11", "DD_0_12", "DD5_01", "DD5_02", "DD5_03", "DD5_04", "DD5_05", "DD5_06", "DD5_07", "DD5_08", "DD5_09", "DD5_10", "DD5_11", "DD5_12", "DD_18_01", "DD_18_02", "DD_18_03", "DD_18_04", "DD_18_04", "DD_18_05", "DD_18_06", "DD_18_07", "DD_18_08", "DD_18_09", "DD_18_10", "DD_18_11", "DD_18_12", "DD18_01", "DD18_02", "DD18_03", "DD18_04", "DD18_05", "DD18_06", "DD18_07", "DD18_08", "DD18_09", "DD18_10", "DD18_11", "DD18_12", "NFFD01", "NFFD02", "NFFD03", "NFFD04", "NFFD05", "NFFD06", "NFFD07", "NFFD08", "NFFD09", "NFFD10", "NFFD11", "NFFD12", "PAS01", "PAS02", "PAS03", "PAS04", "PAS05", "PAS06", "PAS07", "PAS08", "PAS09", "PAS10", "PAS11", "PAS12", "Eref01", "Eref02", "Eref03", "Eref04", "Eref05", "Eref06", "Eref07", "Eref08", "Eref09", "Eref10", "Eref11", "Eref12", "CMD01", "CMD02", "CMD03", "CMD04", "CMD05", "CMD06", "CMD07", "CMD08", "CMD09", "CMD10", "CMD11", "CMD12", "RH01", "RH02", "RH03", "RH04", "RH05", "RH06", "RH07", "RH08", "RH09", "RH10", "RH11", "RH12", "NA_L1NAME"
"1", "ak031.crn", 1901, "FTR", 67.933333, -161.699997, 126, -20, -19, -15.3, -5.9, 6.4, 15.2, 18.3, 13.7, 6.2, -5.2, -14, -18.9, -28.3, -26.8, -24.1, -14.4, -1.1, 8.1, 11.2, 7.4, -0.3, -11.6, -21, -25.4, -24.1, -22.9, -19.7, -10.2, 2.6, 11.7, 14.7, 10.5, 2.9, -8.4, -17.5, -22.2, 17, 16, 20, 14, 11, 16, 52, 78, 65, 53, 25, 25, 748, 642, 613, 310, 19, 0, 0, 0, 13, 223, 522, 686, 0, 0, 0, 1, 22, 201, 299, 169, 25, 1, 0, 0, 1302, 1142, 1171, 843, 843, 476, 191, 108, 233, 453, 822, 1064, 1241, 0, 0, 0, 0, 0, 3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 31, 30, 13, 0, 0, 0, 17, 16, 20, 14, 6, 0, 0, 3, 25, 53, 25, 25, 0, 0, 0, 0, 43, 68, 72, 43, 17, 0, 0, 0, 0, 0, 0, 0, 32, 52, 20, 0, 0, 0, 0, 0, 60, 62, 59, 63, 74, 77, 78, 79, 77, 72, 67, 68, "TUNDRA"
"464", "ak031.crn", 1954, "FTR", 67.933333, -161.699997, 126, -22.9, -23.7, -12.8, -3.2, 8.9, 15.1, 16.5, 14.2, 5.3, -3.2, -12.6, -27.1, -31.4, -32.2, -22.2, -13.7, 1, 7.5, 9, 7.8, -0.4, -9, -19.6, -33.2, -27.1, -27.9, -17.5, -8.5, 4.9, 11.3, 12.7, 11, 2.5, -6.1, -16.1, -30.2, 17, 10, 55, 8, 4, 15, 64, 183, 98, 32, 19, 12, 840, 781, 544, 260, 6, 0, 0, 0, 16, 194, 481, 932, 0, 0, 0, 1, 45, 189, 241, 185, 21, 2, 0, 0, 1395, 1282, 1101, 793, 793, 405, 203, 163, 218, 466, 750, 1022, 1488, 0, 0, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 31, 31, 13, 1, 0, 0, 17, 10, 55, 8, 1, 0, 1, 7, 22, 37, 19, 21, 0, 0, 0, 0, 49, 70, 70, 44, 16, 0, 0, 0, 0, 0, 0, 0, 45, 55, 6, 0, 0, 0, 0, 0, 58, 58, 57, 56, 73, 75, 76, 79, 80, 75, 68, 63, "TUNDRA"
"927", "ak031.crn", 1908, "FTR", 67.933333, -161.699997, 126, -23.5, -15.7, -17.3, -7.6, 6.4, 14.8, 17.9, 12, 2.9, -6.6, -16.1, -16.3, -29.1, -23.5, -23.4, -15.2, 0, 8.4, 11.6, 6.8, -2.2, -12.3, -22, -23, -26.3, -19.6, -20.4, -11.4, 3.2, 11.6, 14.7, 9.4, 0.4, -9.4, -19.1, -19.7, 17, 16, 20, 14, 11, 16, 52, 78, 65, 53, 25, 25, 814, 549, 633, 346, 14, 0, 0, 0, 36, 230, 568, 609, 0, 0, 0, 0, 26, 198, 300, 136, 11, 1, 0, 0, 1368, 1048, 1191, 880, 880, 459, 194, 108, 267, 529, 854, 1111, 1163, 0, 0, 0, 0, 0, 3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 30, 31, 30, 8, 0, 0, 0, 17, 16, 20, 14, 5, 0, 0, 5, 28, 53, 25, 25, 0, 0, 0, 0, 41, 65, 68, 38, 13, 0, 0, 0, 0, 0, 0, 0, 30, 49, 16, 0, 0, 0, 0, 0, 71, 63, 70, 67, 78, 79, 80, 83, 81, 75, 72, 67, "TUNDRA"
"1390", "ak031.crn", 1922, "FTR", 67.933333, -161.699997, 126, -19.7, -16.2, -17.2, -4.2, 2.9, 12, 14.4, 12.1, 3.9, -6.4, -17.6, -15.8, -24.9, -25.3, -23.9, -12.5, -5.5, 6.8, 8.9, 6, -1.3, -10.8, -22.7, -22.3, -22.3, -20.8, -20.5, -8.4, -1.3, 9.4, 11.6, 9, 1.3, -8.6, -20.1, -19.1, 16, 44, 10, 21, 6, 30, 130, 98, 64, 77, 44, 44, 692, 582, 637, 258, 87, 0, 0, 0, 25, 224, 599, 591, 0, 0, 0, 1, 6, 135, 206, 124, 15, 1, 0, 0, 1246, 1082, 1196, 791, 791, 599, 258, 197, 280, 501, 828, 1142, 1145, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 31, 30, 10, 0, 0, 0, 16, 44, 10, 21, 4, 1, 3, 7, 25, 54, 13, 31, 0, 0, 0, 0, 0, 54, 58, 40, 14, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 74, 57, 68, 65, 67, 83, 82, 80, 81, 81, 75, 70, "TUNDRA"
"1853", "ak031.crn", 1936, "FTR", 67.933333, -161.699997, 126, -21, -20.4, -17.9, -1.6, 8.6, 19.7, 17.2, 13.9, 5.1, -4.8, -13.7, -20.4, -28.8, -30.1, -26.2, -8.9, 1.6, 12.1, 10.4, 8.1, -0.5, -10.8, -20.7, -28.1, -24.9, -25.3, -22.1, -5.3, 5.1, 15.9, 13.8, 11, 2.3, -7.8, -17.2, -24.2, 17, 4, 11, 12, 6, 22, 47, 17, 14, 45, 14, 19, 771, 707, 685, 179, 5, 0, 0, 0, 17, 216, 512, 750, 0, 0, 0, 3, 48, 327, 274, 184, 20, 1, 0, 0, 1326, 1208, 1243, 697, 697, 400, 84, 132, 219, 471, 802, 1055, 1305, 0, 0, 0, 0, 1, 20, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1, 19, 30, 31, 31, 12, 0, 0, 0, 17, 4, 11, 11, 2, 0, 0, 1, 25, 44, 8, 16, 0, 0, 0, 0, 46, 81, 68, 42, 16, 0, 0, 0, 0, 0, 0, 0, 40, 59, 21, 24, 1, 0, 0, 0, 61, 53, 60, 69, 76, 76, 78, 81, 80, 74, 68, 66, "TUNDRA"
"2316", "ak031.crn", 1943, "FTR", 67.933333, -161.699997, 126, -25.5, -16.3, -15.2, -5.4, 8.3, 16.1, 18.5, 12.6, 5, -3.1, -11.4, -17.2, -35.3, -25.1, -23, -14.9, 1.1, 7.8, 10.7, 5.9, -1.5, -9.2, -16.5, -25.2, -30.4, -20.7, -19.1, -10.2, 4.7, 12, 14.6, 9.3, 1.8, -6.2, -14, -21.2, 7, 23, 27, 4, 18, 9, 53, 76, 49, 35, 25, 16, 941, 580, 594, 310, 7, 0, 0, 0, 21, 195, 417, 657, 0, 0, 0, 1, 42, 210, 296, 131, 17, 2, 0, 0, 1495, 1080, 1152, 843, 843, 412, 182, 111, 272, 487, 752, 958, 1212, 0, 0, 0, 0, 1, 3, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 31, 30, 10, 1, 0, 0, 7, 23, 27, 4, 6, 0, 0, 5, 12, 59, 12, 11, 0, 0, 0, 0, 46, 75, 76, 43, 16, 0, 0, 0, 0, 0, 0, 0, 29, 66, 23, 0, 0, 0, 0, 0, 50, 59, 63, 59, 75, 73, 75, 78, 76, 74, 77, 57, "TUNDRA"
"2779", "ak031.crn", 2010, "FTR", 67.933333, -161.699997, 126, -24.2, -15.9, -17.9, -4, 5.3, 15.9, 16.7, 14.9, 8.6, -3.5, -10.5, -20.4, -31.1, -23.2, -24.8, -10.4, -0.1, 9.4, 10.3, 9.6, 3.1, -9.1, -16, -25.5, -27.6, -19.6, -21.3, -7.2, 2.6, 12.6, 13.5, 12.3, 5.9, -6.3, -13.3, -22.9, 6, 18, 21, 25, 9, 8, 78, 89, 42, 44, 53, 45, 855, 548, 663, 223, 19, 0, 0, 0, 4, 197, 396, 709, 0, 0, 0, 1, 21, 229, 265, 226, 59, 2, 0, 0, 1409, 1048, 1221, 756, 756, 478, 157, 139, 180, 364, 756, 937, 1264, 0, 0, 0, 0, 0, 4, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 14, 30, 31, 31, 23, 1, 0, 0, 6, 18, 21, 25, 5, 0, 1, 2, 13, 55, 32, 37, 0, 0, 0, 0, 36, 68, 66, 42, 18, 0, 0, 0, 0, 0, 0, 0, 27, 60, 0, 0, 0, 0, 0, 0, 65, 65, 67, 72, 81, 79, 79, 82, 81, 76, 75, 70, "TUNDRA"
"3242", "ak031.crn", 1964, "FTR", 67.933333, -161.699997, 126, -23.8, -27, -21, -8.6, 4.1, 12.5, 16.7, 14.1, 5.1, -4.4, -13.7, -25.2, -30.9, -35.6, -29.6, -17.9, -5, 5.9, 9, 7, -0.3, -9.8, -21.3, -31.9, -27.4, -31.3, -25.3, -13.3, -0.5, 9.2, 12.9, 10.6, 2.4, -7.1, -17.5, -28.5, 9, 24, 5, 7, 21, 8, 16, 55, 62, 52, 25, 21, 847, 875, 786, 401, 68, 1, 0, 0, 16, 208, 520, 882, 0, 0, 0, 0, 7, 130, 245, 171, 21, 2, 0, 0, 1401, 1377, 1344, 936, 936, 573, 264, 160, 231, 468, 780, 1063, 1438, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 31, 30, 13, 1, 0, 0, 9, 24, 5, 7, 15, 0, 0, 2, 13, 73, 11, 14, 0, 0, 0, 0, 0, 61, 71, 46, 15, 0, 0, 0, 0, 0, 0, 0, 0, 52, 54, 0, 0, 0, 0, 0, 64, 56, 58, 59, 66, 78, 75, 77, 81, 77, 65, 64, "TUNDRA"
"3705", "ak031.crn", 1971, "FTR", 67.933333, -161.699997, 126, -26.5, -26.2, -19.8, -6.5, 4.8, 17.3, 19.4, 11.7, 5.6, -5.7, -15, -18.4, -34.1, -33.8, -27.4, -15.5, -3.3, 9.3, 12, 5.4, -0.1, -12.5, -21.2, -25.4, -30.3, -30, -23.6, -11, 0.7, 13.3, 15.7, 8.6, 2.7, -9.1, -18.1, -21.9, 11, 10, 11, 7, 10, 8, 95, 22, 31, 53, 14, 32, 938, 839, 733, 335, 43, 0, 0, 0, 15, 228, 538, 678, 0, 0, 0, 0, 11, 248, 334, 112, 23, 1, 0, 0, 1492, 1341, 1291, 869, 869, 535, 144, 82, 294, 459, 843, 1081, 1233, 0, 0, 0, 0, 0, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30, 31, 29, 14, 0, 0, 0, 11, 10, 11, 7, 7, 0, 0, 2, 17, 52, 34, 18, 0, 0, 0, 0, 40, 77, 76, 40, 16, 0, 0, 0, 0, 0, 0, 0, 30, 69, 0, 18, 0, 0, 0, 0, 60, 61, 62, 61, 70, 74, 77, 79, 80, 71, 71, 67, "TUNDRA"
"4168", "ak031.crn", 1978, "FTR", 67.933333, -161.699997, 126, -13.8, -16.7, -15.2, -3.2, 8.8, 16, 19.8, 15.4, 7.5, -7.7, -10, -17.8, -20.2, -23.7, -23.1, -10.3, 0.7, 9.4, 13.8, 9.1, 2.6, -13.1, -16.4, -24.7, -17, -20.2, -19.2, -6.8, 4.7, 12.7, 16.8, 12.3, 5.1, -10.4, -13.2, -21.3, 7, 9, 9, 14, 2, 24, 50, 31, 101, 38, 29, 31, 529, 566, 596, 210, 6, 0, 0, 0, 5, 320, 395, 658, 0, 0, 0, 2, 43, 231, 365, 226, 47, 1, 0, 0, 1084, 1065, 1154, 742, 742, 411, 156, 59, 179, 388, 884, 936, 1213, 0, 0, 0, 0, 1, 5, 21, 3, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 31, 31, 22, 0, 0, 0, 7, 9, 9, 14, 1, 0, 0, 1, 43, 64, 9, 25, 0, 0, 0, 0, 49, 68, 70, 46, 17, 0, 0, 0, 0, 0, 0, 0, 47, 44, 20, 15, 0, 0, 0, 0, 70, 66, 63, 70, 72, 79, 81, 79, 83, 76, 71, 67, "TUNDRA"
